epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.92,2.01783,3.53534,1.61305,0.00698,0.55224,0.03874,0.01518,2.00506,3.65061,1.57591,0.00022,0.00022,0.00022
2,174.277,1.86707,2.38227,1.36941,0.00843,0.66667,0.12315,0.04909,1.91034,3.37849,1.4331,0.000455446,0.000455446,0.000455446
3,250.205,1.81203,2.19501,1.37217,0.00925,0.73134,0.05125,0.01722,1.93012,3.34682,1.41819,0.00068614,0.00068614,0.00068614
4,326.136,1.79122,2.135,1.39468,0.70783,0.0603,0.13221,0.05336,1.91467,3.26166,1.39393,0.000912082,0.000912082,0.000912082
5,401.587,1.74139,1.92819,1.34667,0.24826,0.06965,0.11249,0.03914,2.1081,3.14857,1.56728,0.00113327,0.00113327,0.00113327
6,477.08,1.74063,1.85479,1.38351,0.7443,0.04353,0.12674,0.04909,2.01784,3.20864,1.57655,0.00134971,0.00134971,0.00134971
7,550.366,1.76304,1.84929,1.38808,1,0.01451,0.10407,0.03465,2.16509,3.42761,1.73025,0.0015614,0.0015614,0.0015614
8,623.476,1.78219,1.8325,1.35411,0.55441,0.14925,0.21631,0.08532,2.09598,2.89859,1.74086,0.00176833,0.00176833,0.00176833
9,696.655,1.7375,1.77977,1.36032,0.54424,0.1393,0.21594,0.08435,2.06017,2.94592,1.68301,0.0018416,0.0018416,0.0018416
10,771.805,1.73234,1.74555,1.39017,0.40253,0.31343,0.26894,0.10818,2.07572,2.60057,1.64341,0.0018218,0.0018218,0.0018218
11,844.932,1.65804,1.61964,1.2931,0.56603,0.31149,0.36311,0.14701,2.01299,2.52258,1.63775,0.001802,0.001802,0.001802
12,918.189,1.71046,1.54581,1.31787,0.43724,0.36318,0.30042,0.12728,2.12838,2.4105,1.77664,0.0017822,0.0017822,0.0017822
13,992.002,1.71853,1.56429,1.33942,0.47212,0.29851,0.33504,0.14207,2.11116,2.48485,1.7727,0.0017624,0.0017624,0.0017624
14,1065.84,1.62507,1.46203,1.29161,0.45172,0.32836,0.33387,0.14491,2.07704,2.3596,1.75376,0.0017426,0.0017426,0.0017426
15,1139.04,1.62244,1.48395,1.30155,0.4807,0.36318,0.33335,0.15039,2.06723,2.47362,1.74145,0.0017228,0.0017228,0.0017228
16,1212.54,1.64262,1.50204,1.29815,0.52709,0.43284,0.4688,0.17599,2.17179,1.89957,1.68909,0.001703,0.001703,0.001703
17,1286.36,1.62248,1.45411,1.31272,0.6709,0.45771,0.50288,0.20194,2.02442,1.92879,1.5939,0.0016832,0.0016832,0.0016832
18,1360.11,1.57733,1.36668,1.25341,0.61171,0.43781,0.48089,0.2099,2.01919,1.95356,1.65322,0.0016634,0.0016634,0.0016634
19,1433.6,1.61118,1.33838,1.23793,0.49267,0.38168,0.36261,0.15942,2.02259,2.0571,1.61672,0.0016436,0.0016436,0.0016436
20,1506.74,1.61903,1.37676,1.25027,0.46243,0.4451,0.40574,0.17067,2.02614,2.00766,1.63331,0.0016238,0.0016238,0.0016238
21,1580.19,1.5415,1.30427,1.22951,0.59718,0.45771,0.49899,0.22565,1.98502,1.80965,1.565,0.001604,0.001604,0.001604
22,1661.47,1.47748,1.25317,1.2142,0.53928,0.51741,0.52908,0.2308,2.00953,1.71906,1.54254,0.0015842,0.0015842,0.0015842
23,1736,1.49811,1.24535,1.19701,0.63099,0.53731,0.59016,0.24402,2.00516,1.66882,1.56877,0.0015644,0.0015644,0.0015644
24,1809.89,1.51292,1.22037,1.20699,0.67664,0.57711,0.61744,0.28157,1.92136,1.69239,1.54323,0.0015446,0.0015446,0.0015446
25,1884.71,1.47466,1.21887,1.21033,0.61499,0.56423,0.58492,0.26202,1.95349,1.63708,1.5092,0.0015248,0.0015248,0.0015248
26,1959.74,1.47235,1.17733,1.2034,0.58826,0.52239,0.53108,0.24177,1.94586,1.66641,1.48966,0.001505,0.001505,0.001505
27,2033.29,1.48423,1.17321,1.19401,0.69139,0.48259,0.5699,0.25498,1.97759,1.56082,1.52157,0.0014852,0.0014852,0.0014852
28,2107.21,1.43812,1.17107,1.21342,0.65043,0.42582,0.53838,0.24433,1.94675,1.65627,1.50688,0.0014654,0.0014654,0.0014654
29,2181,1.45362,1.10357,1.19406,0.63327,0.52406,0.56416,0.26755,1.94471,1.56347,1.49385,0.0014456,0.0014456,0.0014456
30,2254.82,1.42756,1.10605,1.19251,0.6482,0.44918,0.49821,0.22246,1.99357,1.82171,1.56592,0.0014258,0.0014258,0.0014258
31,2328.93,1.44805,1.15907,1.18849,0.68987,0.48259,0.57807,0.26281,1.87038,1.54667,1.48477,0.001406,0.001406,0.001406
32,2402.85,1.40844,1.06141,1.14654,0.6472,0.54229,0.58942,0.26027,1.88941,1.51742,1.49341,0.0013862,0.0013862,0.0013862
33,2477.21,1.42281,1.11359,1.14713,0.59664,0.49306,0.51703,0.23795,1.94834,1.63581,1.52033,0.0013664,0.0013664,0.0013664
34,2550.73,1.40954,1.06296,1.15179,0.72417,0.45274,0.56724,0.25267,1.97001,1.58517,1.55329,0.0013466,0.0013466,0.0013466
