epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.555,2.04727,4.079,1.6286,0.00315,0.18149,0.01691,0.00591,2.14718,4.11155,1.58722,0.00031438,0.00031438,0.00031438
2,200.056,2.11243,3.38712,1.49546,0.0029,0.20761,0.02735,0.00709,1.88369,3.74194,1.34441,0.000636684,0.000636684,0.000636684
3,295.519,2.00356,3.04837,1.46552,0.00574,0.36309,0.09514,0.04599,1.84619,3.50969,1.38418,0.00095248,0.00095248,0.00095248
4,386.533,1.93882,3.07991,1.42208,0.83604,0.06497,0.13336,0.05407,2.0201,3.21748,1.49457,0.00126177,0.00126177,0.00126177
5,471.875,1.87074,2.82334,1.40912,0.25527,0.2782,0.21668,0.10022,1.9168,2.69599,1.51639,0.00137241,0.00137241,0.00137241
6,548.255,1.90223,2.61818,1.42848,0.29424,0.2833,0.25679,0.11322,1.97929,2.6619,1.57481,0.00135826,0.00135826,0.00135826
7,625.72,1.88258,2.56989,1.40684,0.24709,0.22458,0.16719,0.07471,1.89387,2.69771,1.44682,0.00134412,0.00134412,0.00134412
8,707.04,1.85696,2.5316,1.40064,0.3679,0.26884,0.28598,0.12614,1.88475,2.65712,1.46414,0.00132997,0.00132997,0.00132997
9,785.907,1.7567,2.412,1.34947,0.24096,0.30365,0.23108,0.10495,1.95705,2.67169,1.55937,0.00131582,0.00131582,0.00131582
10,865.605,1.76333,2.26747,1.3694,0.30887,0.31477,0.2677,0.1182,1.89071,2.50716,1.5291,0.00130168,0.00130168,0.00130168
11,943.94,1.77313,2.31929,1.32282,0.28764,0.27531,0.23671,0.10172,1.9184,2.45663,1.4746,0.00128753,0.00128753,0.00128753
12,1024.43,1.75058,2.21642,1.33178,0.3876,0.26174,0.27449,0.11162,1.88623,2.34168,1.46369,0.00127338,0.00127338,0.00127338
13,1101.36,1.68592,2.15446,1.31079,0.63674,0.15379,0.20802,0.08635,1.98628,2.6298,1.5904,0.00125923,0.00125923,0.00125923
14,1174.71,1.64217,2.08498,1.27903,0.50608,0.16065,0.14506,0.06494,1.95153,3.02089,1.57648,0.00124509,0.00124509,0.00124509
15,1248.32,1.75636,2.28949,1.32083,0.29669,0.28403,0.21641,0.09224,1.90786,2.75771,1.55378,0.00123094,0.00123094,0.00123094
16,1325.33,1.72009,2.2183,1.31558,0.47939,0.31881,0.29981,0.1402,1.85078,2.43733,1.45272,0.00121679,0.00121679,0.00121679
17,1401.24,1.66372,1.9733,1.28311,0.46307,0.31325,0.33044,0.15234,1.87092,2.17855,1.49744,0.00120265,0.00120265,0.00120265
18,1476.28,1.73466,2.01686,1.31701,0.47953,0.33953,0.37708,0.16925,1.8613,2.13408,1.45715,0.0011885,0.0011885,0.0011885
19,1552.4,1.67228,2.02996,1.31288,0.41989,0.38027,0.36033,0.16711,1.79193,2.10703,1.38818,0.00117435,0.00117435,0.00117435
20,1627.65,1.64859,1.96613,1.29171,0.45504,0.34718,0.34351,0.14425,1.77223,2.00087,1.43872,0.00116021,0.00116021,0.00116021
21,1703.57,1.62274,1.96141,1.26787,0.3643,0.39372,0.27497,0.11593,1.84677,2.32572,1.48762,0.00114606,0.00114606,0.00114606
22,1780.77,1.57364,1.83205,1.24181,0.31824,0.40179,0.29109,0.13749,1.8479,2.15145,1.50033,0.00113191,0.00113191,0.00113191
23,1856.8,1.57579,1.79422,1.24722,0.40295,0.43137,0.33169,0.16191,1.80088,2.09307,1.48434,0.00111776,0.00111776,0.00111776
24,1933.45,1.55108,1.64894,1.23924,0.4177,0.34038,0.31441,0.15002,1.8031,2.07151,1.46223,0.00110362,0.00110362,0.00110362
25,2008.19,1.5574,1.76869,1.25548,0.50067,0.39439,0.37931,0.17306,1.82993,2.02385,1.4103,0.00108947,0.00108947,0.00108947
26,2083.55,1.53215,1.69003,1.21758,0.39322,0.38197,0.38449,0.16633,1.89787,2.05063,1.45701,0.00107532,0.00107532,0.00107532
27,2159.17,1.5364,1.75479,1.22124,0.42446,0.4292,0.39841,0.16799,1.83318,2.12251,1.44881,0.00106118,0.00106118,0.00106118
28,2236.2,1.55164,1.76611,1.22946,0.37886,0.37673,0.31979,0.13579,1.88082,2.08141,1.46618,0.00104703,0.00104703,0.00104703
29,2312.85,1.51321,1.68974,1.21244,0.39484,0.40209,0.35663,0.16813,1.85902,1.93815,1.46422,0.00103288,0.00103288,0.00103288
30,2388.7,1.51359,1.61707,1.20971,0.44087,0.36395,0.37375,0.17334,1.86959,2.0501,1.47978,0.00101873,0.00101873,0.00101873
31,2464.61,1.50023,1.52898,1.21099,0.72842,0.3042,0.39846,0.19034,1.84476,1.94966,1.43858,0.00100459,0.00100459,0.00100459
32,2541.22,1.49781,1.54912,1.20793,0.39867,0.39379,0.39427,0.17441,1.91003,2.01191,1.52128,0.00099044,0.00099044,0.00099044
33,2617.72,1.44086,1.50936,1.15393,0.57375,0.36196,0.4187,0.19304,1.84635,1.91111,1.48525,0.000976293,0.000976293,0.000976293
34,2693.87,1.42701,1.51912,1.19332,0.49934,0.4072,0.42135,0.19259,1.77259,1.86353,1.41824,0.000962146,0.000962146,0.000962146
35,2769.38,1.43073,1.42028,1.16837,0.52888,0.34141,0.39094,0.17751,1.86351,1.86465,1.48715,0.000947999,0.000947999,0.000947999
36,2844.97,1.44802,1.4494,1.17117,0.48341,0.33715,0.38647,0.16583,1.90132,1.99666,1.48355,0.000933851,0.000933851,0.000933851
37,2920.68,1.46416,1.52392,1.16654,0.49556,0.31298,0.36346,0.17159,1.76712,2.10029,1.42357,0.000919704,0.000919704,0.000919704
38,2996.13,1.44977,1.4112,1.1555,0.40653,0.34092,0.34892,0.15285,1.79708,2.06645,1.44363,0.000905557,0.000905557,0.000905557
39,3070.8,1.47704,1.44595,1.14265,0.6222,0.42645,0.45032,0.1881,1.91135,1.88648,1.4867,0.00089141,0.00089141,0.00089141
40,3147.14,1.39492,1.4328,1.14684,0.52605,0.38229,0.41162,0.19431,1.91133,1.77828,1.49688,0.000877263,0.000877263,0.000877263
41,3222.18,1.4322,1.40922,1.15732,0.56787,0.41394,0.41526,0.185,1.83313,1.75011,1.44513,0.000863116,0.000863116,0.000863116
42,3297.21,1.35545,1.25813,1.11984,0.55495,0.39037,0.3896,0.17325,1.80517,1.83368,1.44915,0.000848969,0.000848969,0.000848969
43,3372.24,1.39531,1.32202,1.14506,0.45687,0.47418,0.39893,0.17696,1.81671,1.99333,1.48059,0.000834822,0.000834822,0.000834822
44,3447.82,1.42498,1.3902,1.14382,0.44194,0.42841,0.39156,0.17582,1.83864,1.87717,1.48824,0.000820675,0.000820675,0.000820675
45,3524.56,1.37067,1.28134,1.14185,0.35527,0.43563,0.35986,0.16684,1.80276,1.86928,1.44688,0.000806528,0.000806528,0.000806528
46,3600.7,1.33126,1.25307,1.13547,0.32588,0.48309,0.33942,0.16114,1.79862,1.85041,1.44253,0.00079238,0.00079238,0.00079238
47,3676.88,1.29249,1.27324,1.10956,0.47303,0.36508,0.38347,0.18505,1.72029,1.72853,1.39897,0.000778233,0.000778233,0.000778233
48,3753,1.36413,1.22175,1.10671,0.48325,0.40796,0.42081,0.19976,1.80758,1.75701,1.43655,0.000764086,0.000764086,0.000764086
49,3828.62,1.33392,1.25544,1.13274,0.41372,0.44628,0.40942,0.20122,1.80057,1.781,1.47003,0.000749939,0.000749939,0.000749939
50,3904.24,1.29936,1.20972,1.10172,0.49634,0.4079,0.41441,0.19813,1.84642,1.80083,1.4958,0.000735792,0.000735792,0.000735792
51,3980.21,1.27724,1.18381,1.09089,0.56764,0.39307,0.3873,0.183,1.85373,1.97668,1.47031,0.000721645,0.000721645,0.000721645
52,4055.97,1.25712,1.19419,1.08933,0.52497,0.38788,0.3584,0.18223,1.77517,1.7383,1.44607,0.000707498,0.000707498,0.000707498
53,4131.9,1.31856,1.20132,1.0992,0.45422,0.39587,0.36946,0.1832,1.8174,1.74714,1.46818,0.000693351,0.000693351,0.000693351
54,4207.33,1.28278,1.14646,1.0924,0.53579,0.35744,0.37621,0.1749,1.87997,1.81728,1.48926,0.000679204,0.000679204,0.000679204
55,4283.22,1.25384,1.10999,1.07321,0.58202,0.32037,0.38745,0.17097,1.86157,1.93022,1.48004,0.000665057,0.000665057,0.000665057
56,4359.69,1.23916,1.11797,1.05364,0.50477,0.41121,0.41204,0.19214,1.86126,1.83278,1.45257,0.000650909,0.000650909,0.000650909
57,4435.5,1.24472,1.18551,1.0719,0.64061,0.32685,0.38317,0.17437,1.88593,2.07328,1.47836,0.000636762,0.000636762,0.000636762
58,4510.58,1.19518,1.09104,1.0617,0.50834,0.36079,0.35927,0.17184,1.88542,1.86122,1.52234,0.000622615,0.000622615,0.000622615
59,4586.02,1.20243,1.07138,1.04333,0.53599,0.40049,0.38223,0.19324,1.83981,1.85921,1.49866,0.000608468,0.000608468,0.000608468
